"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4168",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4169",2111,"Vika","Will","statement",5,"female",2,"male"
"4170",2111,"Will","Vika","question",2,"male",5,"female"
"4171",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4172",2111,"Oleg","Will","statement",4,"male",2,"male"
"4173",2111,"Will","Oleg","backchannel",2,"male",4,"male"
"4174",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4175",2111,"Ashley","Saleh","statement",1,"female",3,"male"
"4176",2111,"Saleh","Will","statement",3,"male",2,"male"
"4177",2111,"Will","Oleg","statement",2,"male",4,"male"
"4178",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4179",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4180",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4181",2113,"Will","Vika","statement",2,"male",5,"female"
"4182",2113,"Vika","Vika","statement",5,"female",5,"female"
"4183",2113,"Vika","Ashley","question",5,"female",1,"female"
"4184",2113,"Ashley","Will","statement",1,"female",2,"male"
"4185",2113,"Will","Vika","question",2,"male",5,"female"
"4186",2113,"Vika","Will","question",5,"female",2,"male"
"4187",2113,"Will","Vika","statement",2,"male",5,"female"
"4188",2113,"Vika","Saleh","question",5,"female",3,"male"
"4189",2113,"Saleh","Ashley","statement",3,"male",1,"female"
"4190",2113,"Ashley","Saleh","statement",1,"female",3,"male"
"4191",2113,"Saleh","Will","question",3,"male",2,"male"
"4192",2113,"Will","Vika","statement",2,"male",5,"female"
"4193",2113,"Vika","Saleh","statement",5,"female",3,"male"
"4194",2113,"Saleh","Ashley","statement",3,"male",1,"female"
"4195",2113,"Ashley","Vika","question",1,"female",5,"female"
"4196",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4197",2113,"Ashley","Will","statement",1,"female",2,"male"
"4198",2113,"Will","Ashley","statement",2,"male",1,"female"
"4199",2113,"Ashley","Will","question",1,"female",2,"male"
"4200",2113,"Will","Vika","statement",2,"male",5,"female"
"4201",2113,"Vika","Will","floor-grabber",5,"female",2,"male"
"4202",2113,"Will","Vika","statement",2,"male",5,"female"
"4203",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4204",2113,"Ashley","Will","question",1,"female",2,"male"
"4205",2113,"Will","Ashley","statement",2,"male",1,"female"
"4206",2113,"Ashley","Saleh","statement",1,"female",3,"male"
"4207",2113,"Saleh","Ashley","floor-grabber",3,"male",1,"female"
"4208",2113,"Ashley","Will","statement",1,"female",2,"male"
"4209",2113,"Will","Ashley","backchannel",2,"male",1,"female"
"4210",2113,"Ashley","Vika","question",1,"female",5,"female"
"4211",2113,"Vika","Ashley","statement",5,"female",1,"female"
