"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4116",2105,"Oleg","Vika","statement",4,"male",5,"female"
"4117",2105,"Vika","Oleg","question",5,"female",4,"male"
"4118",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4119",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4120",2105,"Oleg","Vika","statement",4,"male",5,"female"
"4121",2105,"Vika","Will","statement",5,"female",2,"male"
"4122",2105,"Will","Vika","statement",2,"male",5,"female"
"4123",2105,"Vika","Ashley","question",5,"female",1,"female"
"4124",2105,"Ashley","Will","statement",1,"female",2,"male"
"4125",2105,"Will","Ashley","statement",2,"male",1,"female"
"4126",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4127",2105,"Vika","Oleg","question",5,"female",4,"male"
"4128",2105,"Oleg","Will","question",4,"male",2,"male"
"4129",2105,"Will","Saleh","statement",2,"male",3,"male"
"4130",2105,"Saleh","Will","question",3,"male",2,"male"
"4131",2105,"Will","Vika","question",2,"male",5,"female"
"4132",2105,"Vika","Will","question",5,"female",2,"male"
"4133",2105,"Will","Vika","question",2,"male",5,"female"
"4134",2105,"Vika","Will","question",5,"female",2,"male"
"4135",2105,"Will","Ashley","statement",2,"male",1,"female"
"4136",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4137",2105,"Vika","Saleh","statement",5,"female",3,"male"
"4138",2105,"Saleh","Ashley","question",3,"male",1,"female"
"4139",2105,"Ashley","Ashley","statement",1,"female",1,"female"
"4140",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4141",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4142",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4143",2105,"Vika","Ashley","question",5,"female",1,"female"
"4144",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4145",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4146",2105,"Ashley","Saleh","statement",1,"female",3,"male"
"4147",2105,"Saleh","Ashley","question",3,"male",1,"female"
"4148",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4149",2105,"Vika","Oleg","statement",5,"female",4,"male"
"4150",2105,"Oleg","Vika","question",4,"male",5,"female"
"4151",2105,"Vika","Oleg","statement",5,"female",4,"male"
"4152",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4153",2105,"Ashley","Vika","statement",1,"female",5,"female"
