"","sid","rid","time"
"628",7,10,30050
"629",15,7,30060
"630",10,7,30130
"631",13,8,30220
"632",5,6,30230
"633",9,19,30260
"634",13,8,30320
"635",8,14,30321
"636",4,18,30322
"637",6,5,30380
"638",1,20,30420
"639",5,6,30530
"640",3,18,30540
"641",5,6,30550
"642",19,9,30551
"643",13,8,30590
"644",14,3,30600
"645",9,1,30630
"646",19,9,30650
"647",8,13,30680
"648",9,1,30690
"649",1,9,30730
"650",1,9,30780
"651",8,13,30790
"652",20,1,30840
"653",1,9,30841
"654",4,8,30860
"655",14,8,30880
"656",1,20,30920
"657",1,20,30940
"658",9,1,30941
"659",7,10,30960
"660",1,20,30970
"661",20,1,30971
"662",13,8,30980
"663",6,5,31000
"664",8,14,31020
"665",2,1,31030
"666",9,8,31060
"667",8,13,31080
"668",7,9,31090
"669",9,10,31150
"670",6,10,31170
"671",20,1,31230
"672",20,1,31270
"673",9,7,31280
"674",13,8,31320
"675",10,7,31380
"676",6,7,31390
"677",1,20,31400
"678",13,8,31430
"679",18,15,31440
"680",9,19,31470
"681",1,20,31500
"682",9,20,31510
"683",15,18,31540
"684",9,2,31541
"685",19,9,31560
"686",18,4,31570
"687",9,1,31590
"688",4,20,31610
"689",1,20,31611
"690",6,8,31612
"691",8,4,31613
"692",3,14,31640
"693",13,8,31650
"694",4,18,31660
"695",9,19,31661
"696",18,10,31720
"697",1,9,31740
"698",19,9,31770
"699",9,1,31780
"700",8,3,31850
"701",20,1,31860
"702",10,9,31861
"703",2,9,31880
"704",10,9,31881
"705",10,9,31930
"706",14,13,32000
"707",20,1,32050
"708",1,2,32070
"709",8,13,32130
"710",1,2,32131
"711",10,9,32150
"712",1,2,32151
"713",1,2,32160
"714",8,14,32170
"715",20,1,32240
"716",2,1,32250
"717",14,8,32270
"718",9,7,32271
"719",15,7,32272
"720",10,9,32280
"721",8,9,32281
"722",1,2,32282
"723",1,2,32300
"724",1,20,32340
"725",14,8,32341
"726",15,7,32342
"727",1,20,32370
"728",14,8,32400
"729",10,8,32440
"730",9,10,32490
"731",20,1,32500
"732",9,10,32510
"733",8,9,32511
"734",9,8,32630
"735",15,8,32680
"736",17,10,32690
"737",13,8,32720
"738",15,9,32790
"739",6,18,32870
"740",14,8,32910
"741",9,1,32920
"742",8,15,32930
"743",7,10,32950
"744",2,9,32970
"745",9,1,32980
"746",7,8,33010
"747",14,8,33011
"748",15,8,33020
"749",1,9,33040
"750",18,9,33050
"751",1,2,33080
"752",10,18,33100
"753",9,1,33190
"754",20,9,33220
"755",18,19,33240
"756",10,18,33270
"757",7,9,33300
"758",1,20,33350
"759",15,10,33360
"760",14,8,33400
"761",2,1,33401
"762",19,1,33450
"763",4,8,33500
"764",16,15,33501
"765",8,14,33510
"766",16,15,33520
"767",18,6,33570
"768",15,16,33580
"769",1,2,33650
"770",10,15,33680
"771",19,20,33700
"772",7,9,33710
"773",15,16,33740
"774",13,4,33741
"775",1,2,33750
"776",7,8,33770
"777",6,18,33771
"778",15,10,33772
"779",4,16,33780
"780",9,2,33800
"781",7,10,33830
"782",9,2,33831
"783",1,20,33840
"784",9,2,33860
"785",18,4,33920
"786",6,18,33940
"787",8,4,33980
"788",8,3,34000
"789",18,3,34020
"790",1,19,34030
"791",20,1,34070
"792",9,20,34090
"793",18,6,34091
"794",8,14,34100
"795",19,1,34101
"796",18,6,34102
"797",16,15,34130
"798",4,13,34150
"799",8,13,34160
"800",9,19,34200
"801",15,16,34310
"802",14,8,34320
"803",9,7,34360
"804",10,18,34400
"805",16,4,34401
"806",8,14,34450
"807",16,4,34460
"808",6,18,34480
"809",14,8,34500
"810",8,13,34600
"811",2,1,34640
"812",1,9,34650
"813",10,7,34660
"814",1,2,34680
"815",10,7,34710
"816",8,6,34910
"817",8,6,34930
"818",20,2,34931
"819",9,7,34950
"820",1,9,35030
"821",18,10,35070
"822",20,2,35071
"823",13,8,35090
"824",9,1,35110
"825",8,13,35140
"826",9,1,35170
"827",6,8,35210
"828",18,6,35211
"829",2,20,35260
"830",9,1,35320
"831",20,9,35350
"832",2,20,35390
"833",20,9,35391
"834",6,18,35400
"835",8,7,35440
"836",1,9,35450
"837",9,20,35510
"838",8,7,35511
"839",1,9,35512
"840",1,9,35540
"841",19,20,35550
"842",9,1,35560
"843",9,1,35600
"844",14,13,35620
"845",9,1,35690
"846",1,9,35700
"847",3,8,35790
"848",10,8,35800
"849",1,9,35830
"850",19,1,35840
"851",1,9,35870
"852",13,14,35880
"853",18,6,35890
"854",2,20,35930
"855",10,6,35960
"856",3,8,35970
"857",1,19,35990
"858",20,2,35991
"859",9,1,36020
"860",20,2,36021
"861",1,19,36040
"862",8,10,36041
"863",10,18,36050
"864",18,6,36070
"865",3,8,36090
"866",1,9,36100
"867",19,1,36170
"868",20,2,36180
